Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
49,2.0,0.0,0.0,403.0,9.0,81.0,2031.0,0.1,37.10859999999998,0.0,0.0,457.13578820228577,,,,,,,,,,,,,,,,,,,,,16.79125733512375,10.9580508044072,35.820112560864146,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,522.0,10.0,119.0,2150.0,0.1,49.8175999999999,0.0,0.0,468.721875667572,,,,,,,,,,,,,,,,,,,,,21.82902236176532,14.524311858648437,47.314528080583045,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,666.0,11.0,144.0,2294.0,0.1,70.01039999999992,0.0,0.0,482.45906925201416,,,,,,,,,,,,,,,,,,,,,32.06541976220661,19.271808495373456,65.52396195418872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,701.0,12.0,35.0,2329.0,0.1,13.7104,0.0,0.0,486.2011272907257,,,,,,,,,,,,,,,,,,,,,5.001315430556089,4.6854788708827,13.562465328121453,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,747.0,13.0,46.0,2375.0,0.1,21.104400000000005,0.0,0.0,490.64256405830383,,,,,,,,,,,,,,,,,,,,,9.625648100219678,6.6417061052863104,20.70300549537516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,773.0,14.0,26.0,2401.0,0.1,11.1054,0.0,0.0,493.45052456855774,,,,,,,,,,,,,,,,,,,,,4.583113841127046,3.752163154897153,11.008244520928033,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,795.0,15.0,22.0,2423.0,0.1,9.2046,0.0,0.0,495.7610237598419,,,,,,,,,,,,,,,,,,,,,4.221550258286239,3.312758504529762,9.12997671777654,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,875.0,16.0,80.0,2503.0,0.1,39.50599999999996,0.0,0.0,503.4378318786621,,,,,,,,,,,,,,,,,,,,,18.257993349222808,11.963337639351039,38.121565541579805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,903.0,17.0,28.0,2531.0,0.1,10.0072,0.0,0.0,506.30970311164856,,,,,,,,,,,,,,,,,,,,,3.9317297077387487,3.621033702223956,9.916935522292379,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,928.0,18.0,25.0,2556.0,0.1,10.2052,0.0,0.0,508.85542249679565,,,,,,,,,,,,,,,,,,,,,4.4604305145757275,3.5332696210341292,10.113906937102879,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
