Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,2.0,0.0,0.0,178.0,6.0,20.0,1752.0,0.1,19.0,0.0,0.0,432.8285355567932,,,,,,,,,,,,,,,,,,,,,10.383798235257398,5.630444684227632,18.82996513560092,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,198.0,7.0,20.0,1772.0,0.1,19.0,0.0,0.0,435.1257231235504,,,,,,,,,,,,,,,,,,,,,10.383798235257398,5.630444684227632,18.82996513560092,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,255.0,8.0,57.0,1829.0,0.1,47.0,0.0,0.0,440.7644226551056,,,,,,,,,,,,,,,,,,,,,20.971705823442132,14.324467104150143,45.89635959088599,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,278.0,9.0,23.0,1852.0,0.1,11.5,0.0,0.0,443.20967197418213,,,,,,,,,,,,,,,,,,,,,5.9779474702228415,3.312794669750173,11.38526635562978,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,305.0,10.0,27.0,1879.0,0.1,13.0,0.0,0.0,446.20476937294006,,,,,,,,,,,,,,,,,,,,,6.92119216843628,3.8125515232824454,12.838792557775216,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,346.0,11.0,41.0,1920.0,0.1,39.5,0.0,0.0,450.44531989097595,,,,,,,,,,,,,,,,,,,,,20.673941086607936,11.513970939870166,38.72978926418819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,369.0,12.0,23.0,1943.0,0.1,21.0,0.0,0.0,452.9279053211212,,,,,,,,,,,,,,,,,,,,,11.760373179576117,6.330828798320452,20.77103271125956,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,414.0,13.0,45.0,1988.0,0.1,32.0,0.0,0.0,457.5539360046387,,,,,,,,,,,,,,,,,,,,,17.49813286151444,8.191500746622,31.275102952032974,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,443.0,14.0,29.0,2017.0,0.1,27.5,0.0,0.0,460.4925420284271,,,,,,,,,,,,,,,,,,,,,14.77478491674983,8.113129146294431,27.12575562290445,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,466.0,15.0,23.0,2040.0,0.1,22.0,0.0,0.0,463.20521211624146,,,,,,,,,,,,,,,,,,,,,11.868981896967421,6.488440623754929,21.77053271125956,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,512.0,16.0,46.0,2086.0,0.1,33.5,0.0,0.0,468.0856890678406,,,,,,,,,,,,,,,,,,,,,19.164883819298158,9.0063495620322,32.683750160883896,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,558.0,17.0,46.0,2132.0,0.1,45.0,0.0,0.0,472.8966267108917,,,,,,,,,,,,,,,,,,,,,23.129605255130315,12.939018139069676,44.02404221865911,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,586.0,18.0,28.0,2160.0,0.1,26.5,0.0,0.0,475.8722937107086,,,,,,,,,,,,,,,,,,,,,14.28111186494513,7.828131337766283,26.152407530434886,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,620.0,19.0,34.0,2194.0,0.1,33.0,0.0,0.0,479.4968044757843,,,,,,,,,,,,,,,,,,,,,17.27961873483703,9.597783731837742,32.477415316232694,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,726.0,20.0,106.0,2300.0,0.1,89.5,0.0,0.0,489.97212386131287,,,,,,,,,,,,,,,,,,,,,41.87536175177633,24.28475007933848,85.23158960192598,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,46.0,1.0,46.0,2346.0,0.1,43.5,0.0,0.0,615.2302837371826,,,,,,,,,,,,,,,,,,,,,23.03188780948901,12.788115649079128,42.52554171865911,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,121.0,2.0,75.0,2421.0,0.1,65.0,0.0,0.0,622.9284298419952,,,,,,,,,,,,,,,,,,,,,31.416331090140716,17.875270052651107,62.76925090079014,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,185.0,3.0,64.0,2485.0,0.1,56.0,0.0,0.0,629.6391885280609,,,,,,,,,,,,,,,,,,,,,28.12552339503436,15.462675432388842,54.30852925269394,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,221.0,4.0,36.0,2521.0,0.1,34.5,0.0,0.0,633.4421167373657,,,,,,,,,,,,,,,,,,,,,18.230447539375753,10.114468346851572,33.91149296301555,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,415.0,5.0,194.0,2715.0,0.1,157.0,0.0,0.0,652.0540890693665,,,,,,,,,,,,,,,,,,,,,78.05670962412695,42.78686932821655,142.14113846871848,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,443.0,6.0,28.0,2743.0,0.1,27.0,0.0,0.0,654.9151389598846,,,,,,,,,,,,,,,,,,,,,14.334629739945129,7.908123297282198,26.651907530434883,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,472.0,7.0,29.0,2772.0,0.1,28.0,0.0,0.0,657.8934922218323,,,,,,,,,,,,,,,,,,,,,14.826457347784313,8.19072034705883,27.625255622904447,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,529.0,8.0,57.0,2829.0,0.1,44.0,0.0,0.0,663.5354194641113,,,,,,,,,,,,,,,,,,,,,19.08443708021169,13.216671587481498,42.99814036902562,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,578.0,9.0,49.0,2878.0,0.1,37.5,0.0,0.0,668.616405248642,,,,,,,,,,,,,,,,,,,,,16.387732956630753,11.328855911028612,36.770505325270314,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,601.0,10.0,23.0,2901.0,0.1,11.0,0.0,0.0,671.1868031024933,,,,,,,,,,,,,,,,,,,,,5.9344909484837105,3.2442203118774646,10.88526635562978,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,643.0,11.0,42.0,2943.0,0.1,37.0,0.0,0.0,675.4003343582153,,,,,,,,,,,,,,,,,,,,,20.580054504693898,11.008786899182562,36.20801753786104,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,806.0,12.0,163.0,3106.0,0.1,139.0,0.0,0.0,691.1094784736633,,,,,,,,,,,,,,,,,,,,,66.63416656625247,38.77792771345856,128.39529304048887,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,961.0,13.0,155.0,3261.0,0.1,127.5,0.0,0.0,706.2244582176208,,,,,,,,,,,,,,,,,,,,,57.98083257142457,35.07871658025903,118.75035290689007,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1033.0,14.0,72.0,3333.0,0.1,60.5,0.0,0.0,713.2819585800171,,,,,,,,,,,,,,,,,,,,,29.4538563072203,18.726528640396815,58.49625636234848,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1151.0,15.0,118.0,3451.0,0.1,108.5,0.0,0.0,724.7312746047974,,,,,,,,,,,,,,,,,,,,,53.065075415017446,28.763806251181535,102.44310486765843,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1204.0,16.0,53.0,3504.0,0.1,46.0,0.0,0.0,730.4254608154297,,,,,,,,,,,,,,,,,,,,,23.557636879434313,12.400275706361686,44.8410825694463,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1232.0,17.0,28.0,3532.0,0.1,14.5,0.0,0.0,733.4582252502441,,,,,,,,,,,,,,,,,,,,,7.256529173543993,4.0972413962129055,14.325453765217443,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1309.0,18.0,77.0,3609.0,0.1,60.5,0.0,0.0,741.2184307575226,,,,,,,,,,,,,,,,,,,,,30.139748779129285,18.753726375286963,58.29577259342128,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1357.0,19.0,48.0,3657.0,0.1,39.0,0.0,0.0,746.2411687374115,,,,,,,,,,,,,,,,,,,,,17.48302777897577,11.964451734030796,38.237250931220665,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1447.0,20.0,90.0,3747.0,0.1,88.5,0.0,0.0,755.332097530365,,,,,,,,,,,,,,,,,,,,,44.151592484401306,24.79647323738057,84.6956633073553,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,180.0,1.0,180.0,3927.0,0.1,159.0,0.0,0.0,1007.8239274024963,,,,,,,,,,,,,,,,,,,,,75.72144498349155,43.557986114613456,145.66131687540548,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,288.0,2.0,108.0,4035.0,0.1,91.0,0.0,0.0,1018.2554676532745,,,,,,,,,,,,,,,,,,,,,43.32206560204617,25.82662437561617,86.49411865817673,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,413.0,3.0,125.0,4160.0,0.1,102.0,0.0,0.0,1030.4711289405823,,,,,,,,,,,,,,,,,,,,,47.111552724498345,27.709110141908596,96.30356673934969,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,479.0,4.0,66.0,4226.0,0.1,54.5,0.0,0.0,1037.2088963985443,,,,,,,,,,,,,,,,,,,,,30.87474258422237,16.02258026678195,52.56734912033286,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,579.0,5.0,100.0,4326.0,0.1,76.0,0.0,0.0,1046.8895590305328,,,,,,,,,,,,,,,,,,,,,36.57342313679512,20.874148198603447,72.48756031939892,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
